Gene Symbol	1B	2B	3B	8B	9B	10B	11B	13B	14B	16B	17B
ABR	9.572907905	10.50655275	7.803151517	9.030546719	10.19390778	9.879529466	9.221845419	8.670568921	9.132957077	8.581412551	8.841501484
ABR	11.44447243	11.8796716	11.6067942	12.86216806	12.72260345	10.72635432	13.0779927	11.70460681	11.36021768	11.69365236	12.57950059
ABT1	7.478847265	8.034202074	7.338050292	7.403075997	7.5645399	7.524734981	7.429503802	7.405380004	7.780246252	7.43289034	7.467598308
ABTB2	8.585232099	7.145530634	7.147982516	7.626372052	7.189068153	7.364326223	7.267028202	7.211621519	7.106609917	7.233003397	7.968870902
ACAA1	11.29663733	11.01311359	10.02511873	11.54360804	10.79478941	10.64789298	7.436342517	10.48316105	10.52811514	10.73307996	10.63139831
ACAA2	12.84512394	12.52038962	12.78772044	11.06122897	11.98836206	12.32606305	11.47896859	12.66153624	12.7435369	13.39970815	12.55691553
ACACA	9.939996719	8.802991647	10.23749461	8.976295253	8.969632094	9.925569457	11.44022464	8.4539526	7.730450253	7.752624638	8.244690981
ACACA	9.861100037	10.35227358	11.04720857	10.19240801	11.10240606	11.44408727	9.61327272	10.77211265	9.570055462	11.0558713	11.15590987
ACACA	12.63202669	13.28641871	13.58153721	13.29427433	13.38606608	13.88382313	12.98195484	13.11430739	12.59890818	13.38903464	13.52542836
ACACB	13.90617934	14.49421979	13.12642272	13.20235072	13.92102776	14.30026323	14.17473424	14.26198006	14.29157871	14.32106761	13.87204509
ACAD10	10.14693661	11.35951802	11.0651601	11.88831912	11.82868286	11.07616081	11.09505523	11.08775983	10.31666362	10.23508002	11.27289532
ACAD8	10.43861525	10.38491084	7.145835655	10.61217851	9.212620479	9.428838984	7.329864193	9.673690497	10.54874583	10.36895543	9.901141942
ACADL	8.526414873	8.323153222	7.212462723	7.244922473	7.284128627	7.258737672	9.870619542	8.309544499	9.428518078	10.57868242	8.677264135
